Год,Мир
1,300 000 000
200,300 000 000
400,300 000 000
500,280 000 000
600,300 000 000
700,310 000 000
800,330 000 000
900,360 000 000
1000,400 000 000
1100,450 000 000
1200,500 000 000
1300,470 000 000
1340,500 000 000
1350,480 000 000
1400,500 000 000
1500,585 000 000
1550,600 000 000
1600,660 000 000
1650,660 000 000
1700,710 000 000
1750,865 000 000
1800,1 000 000 000
1810,1 045 072 000
1820,1 069 840 000
1830,1 138 390 000
1840,1 192 727 000
1850,1 244 326 000
1860,1 270 042 000
1870,1 309 428 000
1880,1 397 682 000
1890,1 516 023 000
1900,1 650 000 000
1910,1 753 591 000
1920,1 888 031 000
1930,2 073 360 000
1940,2 299 539 000
1950,2 528 311 000
1960,3 035 623 000
1970,3 696 588 000
1980,4 442 295 000
1990,5 279 519 000
1999,6 000 000 000
2007,6 664 959 522
2017,7 531 400 000
